expenditure_date,payee_name,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x14
NA,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,329,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,400,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,350,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,484,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Dundalk Eagle Newspaper,PO Box 600  Easton  Maryland 21601,Business/Group/Organization,1792,Salling   Johnny Ray Friends of,Media,Newspaper,NA,Check,NA,Electoral,NA,NA
NA,Troop Public Relations,9103 Woodmore Center #213  Glenarden  Maryland 20706,Business/Group/Organization,625,Fraser  Stanford Friends of,Media,Videos,NA,Debit Card,NA,Electoral,NA,NA
NA,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,NA,Check,NA,Electoral,November-December Retainer,NA
NA,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2881.16,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
NA,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,3034.32,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
NA,Tholander Consulting  LLC,1221 Van St SE  Apt 722  Washington  District Of Columbia 20003,Business/Group/Organization,2358.12,McMillan  Herb Friends Of,Media,Consulting Fees - Media,NA,Check,NA,Electoral,Email Marketing,NA
NA,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,95,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
NA,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,340,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
NA,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,180,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
NA,Jennifer Johnson,3005 Marlin Dr  Riva  Maryland 21140,Business/Group/Organization,190,McMillan  Herb Friends Of,Media,Graphic Design,NA,Check,NA,Electoral,Graphic Design,NA
