County,Cox 2022 (%),Hogan 2018 (%),Difference (%)
Allegany,66.09489225476611,81.69995750106247,-15.605065246296363
Anne Arundel,43.77091392363006,68.58546460389344,-24.81455068026338
Baltimore City,8.856447310088432,31.598724355815932,-22.742277045727498
Baltimore County,35.73834042120077,61.09672007795828,-25.358379656757513
Calvert,54.80392156862746,75.37419814682823,-20.570276578200776
Caroline,64.70757983839938,82.47718383311604,-17.76960399471666
Carroll,58.21742832812944,83.20342167326218,-24.985993345132748
Cecil,65.2169228559115,77.45785511892154,-12.240932263010038
Charles,30.24523160762943,49.34120571783717,-19.095974110207738
Dorchester,56.62750137690472,74.43195601196734,-17.804454635062626
Frederick,44.748669366648826,67.67457260373628,-22.925903237087454
Garrett,74.52710076391415,86.04651162790698,-11.519410863992832
Harford,53.739405793052065,77.10234312120747,-23.362937328155404
Howard,27.318932655654383,56.194946402293155,-28.876013746638773
Kent,45.12683578104139,73.26892109500805,-28.14208531396666
Montgomery,19.953160159622563,44.075822421577364,-24.1226622619548
Prince George's,8.836961823260763,28.19098076712071,-19.35401894385995
Queen Anne's,57.69749258560258,84.90270340864569,-27.20521082304311
Saint Mary's,56.68449197860963,NA,NA
Somerset,61.82327317983821,67.55388210854323,-5.730608928705024
Talbot,46.80651807454579,77.41066520065971,-30.604147126113915
Washington,59.88748425213954,76.82170389013298,-16.934219637993444
Wicomico,52.58384914351518,67.57022723206299,-14.98637808854781
Worcester,59.51969515707386,76.09345400968218,-16.573758852608314
